"","B_34_gut","A_57_gut","A_58_gut","A_348_gut","A_219_gut","A_168_gut","A_231_oral","A_253_oral","B_217_gut","B_48_gut","A_350_gut","A_65_oral","A_72_gut","A_162_gut","A_178_gut","B_9_gut","A_82_oral","A_52_oral","A_259_gut","A_165_gut","A_202_gut","B_108_gut","B_156_gut","A_81_oral","A_330_oral","A_22_gut","A_360_oral","A_115_gut","A_97_gut","A_334_oral","B_204_gut","A_45_oral","B_59_gut","A_184_oral","B_6_gut","A_124_oral","A_194_gut","A_322_gut","A_151_oral","B_76_gut","A_238_oral","A_211_oral","A_283_oral","A_49_oral","A_65_gut","A_212_oral","B_118_gut","A_251_gut","A_139_gut","A_340_gut","A_200_gut","A_250_gut","B_62_gut","B_4_gut","A_216_gut","A_333_oral","A_302_oral","A_328_gut","B_16_gut","A_91_gut","A_354_oral","A_130_oral","A_334_gut","A_248_gut","A_356_oral","A_352_gut","B_144_gut","B_14_gut","A_293_gut","A_153_oral","A_12_gut","A_87_gut","A_213_oral","A_233_oral","B_211_gut","A_179_oral","A_277_gut","B_121_gut","A_265_gut","A_38_gut","B_318_gut","A_160_oral","A_238_oral","A_69_oral","B_158_gut","A_229_oral","A_20_gut","A_101_gut","B_0_gut","A_175_gut","A_29_oral","A_179_gut","A_28_oral","A_292_gut","A_304_gut","B_230_gut","A_43_oral","A_128_oral","A_195_gut","A_341_oral","B_68_gut","A_211_gut","A_81_gut","A_224_oral","A_103_gut","B_110_gut","A_27_oral","B_39_gut","A_237_oral","A_129_oral","A_235_oral","A_150_gut","A_141_oral","A_174_oral","A_185_oral","A_210_gut","A_327_oral","A_149_gut","A_316_oral","A_333_gut","A_324_gut","B_137_gut","A_339_gut","A_281_gut","A_87_oral","A_288_oral","A_273_oral","B_77_gut","A_30_gut","B_195_gut","A_39_oral","A_332_oral","A_193_oral","A_224_gut","A_100_oral","A_328_oral","A_19_gut","B_194_gut","A_118_gut","A_241_oral","A_52_gut","A_348_oral","B_53_gut","A_244_oral","A_64_gut","A_310_gut","A_221_gut","B_49_gut","B_191_gut","B_149_gut","A_311_gut","B_206_gut","B_164_gut","A_325_gut","B_112_gut","A_337_oral","B_231_gut","A_99_oral","A_205_oral","A_298_oral","A_48_oral","A_42_gut","A_257_gut","A_77_gut","A_180_oral","A_345_gut","A_120_gut","A_246_oral","A_116_gut","A_90_gut","A_173_gut","B_125_gut","A_274_gut","B_161_gut","B_42_gut","A_315_oral","A_24_gut","A_323_gut","A_222_oral","A_79_oral","A_218_oral","A_359_oral","B_67_gut","A_295_gut","A_141_gut","A_261_gut","A_181_oral","A_223_oral","B_241_gut","B_93_gut","A_357_gut","A_197_gut","B_98_gut","A_226_gut","A_344_gut","A_276_gut","A_170_gut","A_242_oral","A_361_gut","A_199_gut","A_98_oral","B_7_gut","A_37_oral","A_190_oral","A_297_oral","A_143_oral","A_274_oral","A_280_gut","A_241_gut","B_75_gut","A_268_gut","A_275_oral","A_38_oral","A_339_oral","B_11_gut","A_106_oral","B_18_gut","A_168_oral","A_79_gut","A_112_gut","A_122_oral","B_26_gut","B_20_gut","B_151_gut","A_125_oral","A_228_oral","B_136_gut","A_235_gut","A_113_gut","A_187_gut","A_354_gut","A_226_oral","B_176_gut","A_271_gut","B_183_gut","A_175_oral","B_52_gut","A_147_oral","A_36_oral","A_148_oral","A_190_gut","A_254_gut","A_216_oral","B_129_gut","A_204_oral","A_289_oral","A_161_oral","A_117_gut","A_336_oral","B_31_gut","B_228_gut","A_358_gut","B_213_gut","B_167_gut","A_338_gut","A_114_gut","A_84_gut","B_119_gut","A_338_oral","A_23_gut","A_134_gut","B_70_gut","A_286_oral","A_157_oral","A_51_oral","A_318_gut","A_284_oral","A_167_gut","A_101_oral","B_172_gut","A_16_gut","A_335_gut","A_53_oral","A_31_oral","A_143_gut","A_90_oral","A_345_oral","B_150_gut","A_260_gut","B_61_gut","A_215_gut","A_295_oral","B_50_gut","A_331_oral","B_24_gut","A_307_oral","B_60_gut","B_94_gut","A_32_oral","B_197_gut","A_33_gut","B_38_gut","A_128_gut","A_84_gut","A_317_oral","B_192_gut","A_249_gut","A_198_oral","A_201_gut","A_263_gut","B_186_gut","A_1_gut","A_301_gut","A_165_oral","A_163_gut","B_17_gut","A_169_oral","A_164_oral","A_186_oral","B_131_gut","A_47_gut","A_264_gut","A_341_gut","A_161_gut","A_45_gut","B_120_gut","A_129_gut","B_15_gut","B_63_gut","B_13_gut","A_267_gut","A_107_oral","B_169_gut","B_122_gut","B_205_gut","B_97_gut","A_55_gut","A_127_gut","A_255_oral","A_284_oral","A_148_gut","A_289_gut","B_175_gut","A_117_oral","A_217_gut","A_183_oral","A_113_oral","A_207_gut","A_114_oral","B_229_gut","B_99_gut","A_205_gut","B_45_gut","B_177_gut","B_168_gut","A_7_gut","B_179_gut","A_156_gut","B_40_gut","A_86_oral","A_139_oral","A_283_gut","A_357_oral","A_335_oral","B_78_gut","A_61_gut","A_105_gut","A_102_oral","A_316_gut","B_162_gut","A_166_gut","A_266_gut","A_253_gut","A_159_gut","A_78_oral","A_359_gut","A_75_gut","A_156_oral","A_53_gut","A_252_oral","A_279_gut","A_9_gut","A_28_gut","A_220_oral","A_44_oral","A_182_oral","B_10_gut","A_74_oral","A_285_gut","A_234_gut","B_182_gut","A_119_oral","A_350_oral","B_127_gut","A_115_oral","A_89_oral","A_317_gut","A_240_oral","A_69_gut","A_346_gut","A_233_gut","A_60_oral","A_297_gut","A_191_oral","B_107_gut","A_232_oral","A_346_oral","A_167_oral","A_239_gut","A_34_oral","B_242_gut","B_139_gut","A_282_oral","B_43_gut","A_137_oral","A_210_oral","A_227_oral","A_25_gut","A_192_gut","A_280_oral","A_43_gut","A_116_oral","B_111_gut","A_294_oral","B_104_gut","B_114_gut","A_344_oral","B_65_gut","B_32_gut","B_140_gut","A_236_oral","A_44_gut","A_286_gut","B_113_gut","A_355_oral","B_157_gut","A_243_oral","A_176_oral","A_275_gut","A_149_oral","A_342_gut","A_183_gut","A_85_oral","A_300_gut","B_21_gut","B_36_gut","B_105_gut","B_141_gut","B_47_gut","A_67_oral","A_284_gut","A_54_oral","A_330_gut","B_177_gut","B_12_gut","A_97_oral","A_170_oral","A_247_oral","A_99_gut","A_305_gut","B_166_gut","A_312_oral","A_59_gut","A_88_oral","A_26_oral","A_142_oral","A_272_gut","A_49_gut","A_342_oral","B_35_gut","A_15_gut","A_85_gut","A_239_oral","A_171_gut","A_126_oral","B_201_gut","A_151_gut","A_251_oral","A_106_gut","A_35_oral","A_209_gut","A_172_gut","A_186_gut","A_305_oral","A_315_gut","A_174_gut","A_8_gut","A_256_gut","A_59_oral","A_240_gut","A_54_gut","A_192_oral","B_232_gut","A_199_oral","A_252_gut","A_230_oral","A_144_oral","A_73_oral","B_128_gut","A_41_gut","A_40_oral","A_14_gut","A_84_gut","A_291_oral","A_232_gut","A_47_oral","A_301_oral","A_337_gut","A_343_gut","A_351_gut","A_18_gut","A_70_gut","A_306_oral","B_58_gut","B_72_gut","A_140_oral","A_55_oral","B_44_gut","A_203_gut","A_158_oral","B_123_gut","A_162_oral","A_3_gut","A_303_oral","B_101_gut","A_313_gut","B_73_gut","B_252_gut","A_202_oral","A_40_gut","A_309_gut","B_51_gut","A_17_gut","A_78_gut","A_228_gut","A_144_gut","A_66_oral","A_288_gut","B_106_gut","B_8_gut","A_225_oral","A_72_oral","A_73_gut","A_60_gut","A_356_gut","B_33_gut","A_44_gut","A_106_gut","B_153_gut","A_272_oral","A_193_gut","A_169_gut","A_196_gut","B_1_gut","B_115_gut","A_364_oral","A_166_oral","A_287_gut","B_210_gut","A_290_oral","A_100_gut","A_250_oral","A_214_gut","B_147_gut","A_248_oral","A_347_oral","A_50_oral","A_108_gut","A_206_gut","A_262_gut","A_0_gut","A_136_gut","A_11_gut","A_32_gut","A_182_gut","A_189_gut","A_244_gut","A_329_oral","B_163_gut","A_135_gut","A_180_gut","A_96_gut","A_5_gut","A_223_gut","B_142_gut","A_108_oral","A_275_oral","A_21_gut","A_138_gut","B_109_gut","B_196_gut","A_146_gut","A_NULL_gut","B_225_gut","A_46_gut","A_2_gut","A_120_gut","A_74_gut","A_176_gut","A_62_oral","A_208_oral","A_203_oral","A_287_oral","B_103_gut","A_98_gut","A_255_gut","A_178_oral","B_199_gut","B_57_gut","A_290_gut","A_154_oral","A_352_oral","A_281_oral","A_66_gut","A_145_oral","A_88_gut","A_39_gut","B_189_gut","A_277_oral","A_309_oral","B_64_gut","A_271_oral","A_184_gut","A_61_oral","B_148_gut","A_234_oral","A_201_oral","A_364_gut","A_26_gut","A_82_gut","B_214_gut","A_142_gut","B_22_gut","B_46_gut","B_185_gut","B_138_gut","B_28_gut","B_92_gut","B_212_gut","A_134_oral","A_355_gut","A_303_gut","A_126_gut","A_247_gut","A_256_oral","B_5_gut","A_135_oral","A_125_gut","A_243_gut","A_236_gut","B_100_gut","A_33_oral","A_127_oral","A_74_gut","A_254_oral","A_314_gut","A_50_gut","B_56_gut","A_181_gut","B_116_gut","B_95_gut","A_299_oral","A_42_oral","A_213_gut","A_89_gut","A_153_gut","A_13_gut","A_219_oral","A_6_gut","A_347_gut","A_123_oral","A_298_gut","A_318_oral","A_326_gut","A_353_oral","A_277_gut","A_177_oral","A_163_oral","A_102_oral","B_25_gut","A_67_gut","B_203_gut","A_273_gut","A_122_gut","A_222_gut","A_191_gut","B_190_gut","B_159_gut","A_257_oral","A_76_gut","A_206_oral","A_147_gut","A_258_oral","A_218_gut","A_138_oral","A_225_gut","A_349_gut","B_171_gut","B_215_gut","A_36_gut","A_68_gut","A_120_oral","A_246_gut","A_304_oral","A_107_gut","A_360_gut","A_331_gut","B_3_gut","B_143_gut","A_152_oral","A_150_oral","A_291_gut","A_112_oral","A_7_gut","A_327_gut","A_56_gut","A_293_oral","A_27_gut","B_71_gut","A_158_gut","A_91_oral","A_198_gut","A_128_oral","B_233_gut","A_312_gut","A_37_gut","A_146_oral","A_177_gut","A_308_oral","A_102_gut","A_217_oral","A_326_oral","A_307_gut","A_353_gut","A_80_gut","B_184_gut","A_292_oral","B_178_gut","B_23_gut","A_313_oral","A_209_oral","A_227_gut","A_311_oral","A_302_gut","A_220_gut","A_231_oral","B_155_gut","A_4_gut","A_329_gut","B_66_gut","A_127_oral","A_207_oral","A_332_gut","A_310_oral","A_269_gut","B_37_gut","A_197_oral","B_30_gut","A_34_gut","B_208_gut","A_155_gut","A_79_oral","A_185_gut","A_238_gut","A_136_oral","A_296_gut","A_164_gut","B_165_gut","A_277_oral","A_173_oral","B_54_gut","A_349_oral","B_27_gut","A_314_oral","A_140_gut","B_89_gut","A_361_oral","A_51_gut","A_29_gut","A_10_gut","B_160_gut","A_119_gut","B_198_gut","A_299_gut","A_249_oral","A_245_oral","A_123_gut","A_306_gut","B_69_gut","B_102_gut","A_282_gut","A_162_gut","A_46_oral","B_41_gut","B_130_gut","A_171_oral","A_118_oral","B_2_gut","A_189_oral","A_152_gut","A_212_gut","A_358_oral","A_204_gut","A_221_oral","B_193_gut","A_57_oral","A_296_oral","A_336_gut","A_41_oral","A_237_gut","A_340_oral","B_200_gut","A_79_gut","A_68_oral","A_196_oral","A_200_oral","A_276_oral","A_160_gut","A_63_gut","A_154_gut","A_157_gut","A_131_oral","A_242_gut","A_245_gut","B_96_gut"
"sk__Bacteria",3,172,316,6,16,1040,4,10,0,7,9,2,44,620,1638,37,4,3,139,202,5,51,7,2,9,48,5,75,302,9,2,8,4,5,14,3,7,3,3,3,5,3,2,6,147,2,41,52,68,5,9,98,14,13,0,11,8,0,13,186,36,5,7,61,16,0,17,24,0,3,389,73,6,3,58,5,4,7,0,1028,4,10,12,8,9,5,119,40,6,1234,5,203,2,5,5,73,3,4,10,7,7,42,115,4,145,4,2,4,6,6,2,224,4,42,5,100,8,1133,5,4,5,16,5,4,3,32,6,3,244,85,12,4,3,11,5,7,170,36,108,6,77,7,4,4,406,12,50,2,6,5,61,17,8,4,43,10,108,6,5,8,20,119,30,67,2,8,827,1,233,61,252,11,1,7,6,5,261,2,2,0,6,8,10,1,97,11,3,3,4,15,7,5,1,97,6,1,57,2,5,1,3,14,2,6,6,8,8,13,480,25,1,7,3,9,43,3,8,5,77,2649,7,1,17,15,4,1,9,2,1109,130,3,2,1,21,13,1,15,2,15,1,518,18,6,8,1,13,24,1018,7,7,1,4,14,30,4,125,19,2,8,307,63,8,8,2,5,2,40,2803,4,17,1124,3,4,1,19,7,11,44,1,0,30,8,6,4,3,4,1,13,4,17,115,58,32,57,5,3,45,7,38,0,0,402,2,11,97,6,6,1,12,14,51,3,5,1439,221,7,68,6,29,40,4,4,8,18,4,30,82,112,21,2,13,7,12,6,4,2,6,15,4,67,3,432,14,43,13,102,3,3256,8,6,1,8,9,4,4,78,73,10,8,11,677,1,196,627,4,7,12,7,14,5,23,13,27,2,3,1,22,3,1,24,18,9,4,77,11,6,4,5,48,9,48,6,2,5,0,23,10,2,81,8,4,9,4,5,6,2,6,322,30,18,116,1,9,3,13,40,8,5,8,22,4,11,5,20,16,34,10,2,16,11,4,52,8,2,8,7,0,14,11,117,5,4,1,4,29,3,2,5,125,3,3,5,77,8,3,5,0,357,10,4,354,97,3,157,6,1,465,7,305,2,5,255,639,3,25,8743,139,73,3,33,51,8,1,2,6,3,3,41,9,210,5,718,67,4,18,5,6,3,11,96,275,172,5,4,23,8,4,7,16,5,15,1,1,6,3,11,8,2,6,419,8,13,644,22,663,71,6,7,4,15,3,7,605,188,7,2,4,73,3,11,6,334,64,10,0,1,9,4,20,6,407,19,24,6,11,7,4,1231,956,12,287,201,0,75,1095,338,23,10,100,418,272,70,65,86,10,4,5,27,7,15,16,22,349,7,41,382,577,25,54,4,3,2,4,0,260,451,8,4,1,6,2,20,10,28,4,57,1082,1,30,7,3,7,43,77,6,2,4,7,121,61,3,329,25,72,34,5,42,8,5,4,13,5,200,10,11,28,2,121,14,16,428,8,5,196,5,27,478,7,1129,7,12,3,5,26,0,39,29,7,280,50,11,3,3,9,3,5,10,3,3,14,44,25,0,77,14,130,7,46,11,29,8,33,6,13,7,51,6,26,1,241,260,4,242,5,291,5,5,10,18,2,7,40,8,176,9,140,4,254,24,674,2,32,11,1,7,835,20,1719,5,32,2,3,9,12,73,121,3,11,4,10,5,285,1,3,35,22,29,24,1,9,6,5,0,4,1,1,4,2,584,0,3167,3,306,55,4,0,772,7,5,2,11,10,0,8,44,2,4,41,703,90,19,297,3,1,0,5,80,6,10,0,2,326,2,8,11,5,21,12,5,339,64,15,472,5,8,6,5,4,5,156,9,3,11,3,2,7,8,438,0,42,0,3,73,33,14
"sk__Bacteria;k__;p__;c__;o__Haloplasmatales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"sk__Bacteria;k__;p__;c__;o__Haloplasmatales;f__Haloplasmataceae;g__Haloplasma",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"sk__Bacteria;k__;p__Acidobacteria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
