"","otu","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"1697","OTU1697","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","unclassified"
"1698","OTU1698","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","unclassified"
"1699","OTU1699","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","unclassified","unclassified"
"1700","OTU1700","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","unclassified","unclassified"
"1701","OTU1701","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","unclassified","unclassified"
"1702","OTU1702","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","unclassified","unclassified"
"1703","OTU1703","Bacteria","Synergistetes","Synergistia","Synergistales","Synergistaceae","Fretibacterium","unclassified"
"1704","OTU1704","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Faecalitalea","unclassified"
"1705","OTU1705","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","unclassified","unclassified"
"1706","OTU1706","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","unclassified"
"1707","OTU1707","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","unclassified"
"1708","OTU1708","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","unclassified","unclassified"
"1709","OTU1709","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","unclassified","unclassified"
"1710","OTU1710","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","unclassified","unclassified"
"1711","OTU1711","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","unclassified","unclassified"
"1712","OTU1712","Bacteria","Firmicutes","Clostridia","Clostridiales","unclassified","unclassified","unclassified"
"1713","OTU1713","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","unclassified","unclassified"
"1714","OTU1714","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","unclassified","unclassified"
"1715","OTU1715","Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Corynebacteriaceae","Corynebacterium","unclassified"
"1716","OTU1716","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","unclassified","unclassified"
"1717","OTU1717","Bacteria","Firmicutes","Clostridia","Clostridiales","unclassified","unclassified","unclassified"
"1718","OTU1718","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","unclassified","unclassified"
"1719","OTU1719","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","unclassified","unclassified"
"1720","OTU1720","Bacteria","Synergistetes","Synergistia","Synergistales","Synergistaceae","Pyramidobacter","unclassified"
"1721","OTU1721","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","unclassified","unclassified"
"1722","OTU1722","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","unclassified","unclassified"
"1723","OTU1723","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","unclassified","unclassified"
"1724","OTU1724","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","unclassified","unclassified","unclassified"
"1725","OTU1725","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminiclostridium","unclassified"
"1726","OTU1726","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","unclassified","unclassified"
"1727","OTU1727","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","unclassified","unclassified"
"1728","OTU1728","Bacteria","Firmicutes","unclassified","unclassified","unclassified","unclassified","unclassified"
"1729","OTU1729","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Butyricimonas","unclassified"
"1730","OTU1730","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","unclassified"
"1731","OTU1731","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Moheibacter","unclassified"
"1732","OTU1732","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Eubacterium","coprostanoligenes"
"1733","OTU1733","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","unclassified"
"1734","OTU1734","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Butyrivibrio","unclassified"
"1735","OTU1735","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","unclassified","unclassified"
"1736","OTU1736","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","unclassified"
"1737","OTU1737","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Thalassospira","unclassified"
"1738","OTU1738","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","unclassified","unclassified"
"1739","OTU1739","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminiclostridium","unclassified"
"1740","OTU1740","Bacteria","Firmicutes","Clostridia","Clostridiales","unclassified","unclassified","unclassified"
"1741","OTU1741","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","unclassified"
"1742","OTU1742","Bacteria","unclassified","unclassified","unclassified","unclassified","unclassified","unclassified"
"1743","OTU1743","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Barnesiella","unclassified"
"1744","OTU1744","Bacteria","Firmicutes","Clostridia","Clostridiales","unclassified","unclassified","unclassified"
"1745","OTU1745","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Faecalibacterium","unclassified"
"1746","OTU1746","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","unclassified","unclassified"
"1747","OTU1747","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria","unclassified","unclassified"
"1748","OTU1748","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","unclassified","unclassified"
"1749","OTU1749","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Faecalibacterium","unclassified"
"1750","OTU1750","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnoclostridium","unclassified"
"1751","OTU1751","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Eubacterium","coprostanoligenes"
"1752","OTU1752","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","unclassified"
"1753","OTU1753","Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Corynebacteriaceae","Corynebacterium","unclassified"
"1754","OTU1754","Bacteria","Firmicutes","unclassified","unclassified","unclassified","unclassified","unclassified"
"1755","OTU1755","Bacteria","Cyanobacteria","Chloroplast","unclassified","unclassified","unclassified","unclassified"
"1756","OTU1756","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","unclassified","unclassified"
"1757","OTU1757","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","unclassified","unclassified"
"1758","OTU1758","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnoclostridium","unclassified"
"1759","OTU1759","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Chitinophagaceae","Segetibacter","unclassified"
"1760","OTU1760","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Escherichia","unclassified"
"1761","OTU1761","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Acetanaerobacterium","unclassified"
"1762","OTU1762","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","unclassified","unclassified"
"1763","OTU1763","Bacteria","Firmicutes","Clostridia","Clostridiales","unclassified","unclassified","unclassified"
"1764","OTU1764","Bacteria","Firmicutes","Clostridia","Clostridiales","Christensenellaceae","unclassified","unclassified"
"1765","OTU1765","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae","Azospira","unclassified"
"1766","OTU1766","Bacteria","Firmicutes","Clostridia","Clostridiales","unclassified","unclassified","unclassified"
"1767","OTU1767","Bacteria","Firmicutes","Clostridia","Clostridiales","Defluviitaleaceae","unclassified","unclassified"
"1768","OTU1768","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","unclassified","unclassified"
"1769","OTU1769","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Anaerotruncus","unclassified"
"1770","OTU1770","Bacteria","Proteobacteria","Epsilonproteobacteria","Campylobacterales","Helicobacteraceae","Helicobacter","bilis"
"1771","OTU1771","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","unclassified"
"1772","OTU1772","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","unclassified","unclassified"
"1773","OTU1773","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminiclostridium","unclassified"
"1774","OTU1774","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","unclassified","unclassified"
"1775","OTU1775","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","unclassified","unclassified"
"1776","OTU1776","Bacteria","Firmicutes","Negativicutes","Selenomonadales","Veillonellaceae","Megamonas","unclassified"
"1777","OTU1777","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","unclassified","unclassified"
"1778","OTU1778","Bacteria","Firmicutes","Clostridia","Clostridiales","unclassified","unclassified","unclassified"
"1779","OTU1779","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","unclassified"
"1780","OTU1780","Bacteria","Actinobacteria","Actinobacteria","Propionibacteriales","Nocardioidaceae","Nocardioides","perillae"
"1781","OTU1781","Bacteria","unclassified","unclassified","unclassified","unclassified","unclassified","unclassified"
"1782","OTU1782","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","unclassified","unclassified"
"1783","OTU1783","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","unclassified","unclassified"
"1784","OTU1784","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcus","unclassified"
"1785","OTU1785","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","unclassified"
"1786","OTU1786","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Faecalibacterium","unclassified"
"1787","OTU1787","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","unclassified","unclassified"
"1788","OTU1788","Bacteria","unclassified","unclassified","unclassified","unclassified","unclassified","unclassified"
"1789","OTU1789","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","unclassified","unclassified"
"1790","OTU1790","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","unclassified","unclassified"
"1791","OTU1791","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","unclassified","unclassified"
"1792","OTU1792","Bacteria","Firmicutes","Clostridia","Clostridiales","unclassified","unclassified","unclassified"
"1793","OTU1793","Bacteria","unclassified","unclassified","unclassified","unclassified","unclassified","unclassified"
"1794","OTU1794","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","unclassified","unclassified"
"1795","OTU1795","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","unclassified","unclassified"
"1796","OTU1796","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","unclassified","unclassified","unclassified"
