"","ID","Group","c","e","N","NLL"
"2","M1070_s112_vaginal","Actinomyces_A",0.882835828210287,0.5975779688231,1,42.0605823805262
"3","M1070_s112_vaginal","Aerococcus",1.86650647435014,0.0907829930005608,2,23.5690935802446
"4","M1070_s112_vaginal","Anaerococcus",0.350888133651214,0.298101148192593,3,107.7936145924
"5","M1070_s112_vaginal","Atopobium",14.3653117400901,0.455590555911651,1,8.93139217051149
"6","M1070_s112_vaginal","Bacteroides",1.23097535568671,0.19687455057469,1,24.6712590490957
"7","M1070_s112_vaginal","Campylobacter",1.09732169120183,1.07114129653971,1,44.648464614109
"8","M1070_s112_vaginal","Dialister",0.416578131818021,0.64724673611206,1,39.4131069564597
"9","M1070_s112_vaginal","Dialister_A",16.3434890744379,0.255366880419363,1,5.16665521206206
"10","M1070_s112_vaginal","Dialister_B",0.938768923243587,0.108856512645642,1,19.4411168942618
"11","M1070_s112_vaginal","Dialister_C",22.9993601085921,1.11268950770475,1,12.1570038430833
"12","M1070_s112_vaginal","Eggerthella",15.1679050622685,1.26422889521079,1,17.6273096695441
"13","M1070_s112_vaginal","Enterococcus",0.115574813589262,1.12768765815153,1,18.2610539766766
"14","M1070_s112_vaginal","Ezakiella",0.52296302609083,0.0936834097205708,1,20.7630560300911
"15","M1070_s112_vaginal","Finegoldia",13.8786627301267,0.9095666899725,1,15.0266912812421
"16","M1070_s112_vaginal","Gemella",1.32476449587032,0.374342240857708,1,33.1515517822959
"17","M1070_s112_vaginal","Hoylesella",1.08904593931793,0.406012803279976,1,36.7493634283663
"18","M1070_s112_vaginal","Mageeibacillus",5.63903389340875,9.01687354533221,1,43.3081054449531
"19","M1070_s112_vaginal","Megasphaera",16.4941895211186,0.52376312428912,1,8.93139053389396
"20","M1070_s112_vaginal","Mobiluncus",0.658194608731373,0.659076508395092,2,85.7347132979894
"21","M1070_s112_vaginal","Parvimonas",16.4941895211186,0.52376312428912,1,8.93139053389396
"22","M1070_s112_vaginal","Peptoniphilus",0.755717642202185,0.134931397989414,4,95.3387443527161
