"","model","term","estimate","se","zval","pval","ci.lb","ci.ub","QM_stat","QM_df","QM_pval","QE_stat","QE_df","QE_pval","k"
"1","mod_rho_family.0001","intrcpt",-1.05162273794591,0.120855643888552,-8.70147809493841,3.27589025632887e-18,-1.28849544729587,-0.81475002859595,75.715721036693,1,3.27589025632882e-18,3074.46712179379,581,0,582
"2","mod_slope_family.0001","intrcpt",-0.385750198912297,0.0303599544777652,-12.7058885807885,5.48429233857112e-37,-0.445254616260992,-0.326245781563601,161.439604627412,1,5.48429233857111e-37,5028.43733974505,581,0,582
"3","mod_rho_family.no_art","intrcpt",-0.754535382521004,0.0628278890231277,-12.0095612673418,3.16519784472345e-33,-0.877675782231014,-0.631394982810994,144.229561834036,1,3.16519784472346e-33,1665.81224547804,555,2.12200017966188e-111,556
"4","mod_slope_family.no_art","intrcpt",-0.719645449377101,0.0404895796440293,-17.7735964587427,1.13195330005562e-70,-0.799003567228565,-0.640287331525638,315.900731078232,1,1.13195330005564e-70,2103.97956655109,555,1.50909057380305e-178,556
"5","mod_rho_genus.0001","intrcpt",-0.983274831347386,0.105347167658169,-9.33366176998623,1.02275036495452e-20,-1.1897514858307,-0.776798176864071,87.1172420365025,1,1.02275036495452e-20,7494.49332575745,575,0,576
"6","mod_slope_genus.0001","intrcpt",-0.32637358848104,0.0180368183134069,-18.0948536937051,3.49871792887063e-73,-0.36172510277101,-0.29102207419107,327.423730196593,1,3.49871792887083e-73,5584.21396349421,575,0,576
"7","mod_rho_genus.no_art","intrcpt",-0.692701222456837,0.0645028633042942,-10.7390771040504,6.6707875542439e-27,-0.819124511432964,-0.56627793348071,115.327777046739,1,6.67078755424384e-27,2420.41384424379,545,1.11360710547514e-233,546
"8","mod_slope_genus.no_art","intrcpt",-0.702715938096356,0.0404590052546761,-17.3685915823434,1.42685359514761e-67,-0.782014131245838,-0.623417744946874,301.66797355425,1,1.42685359514764e-67,2192.1242310191,545,8.9390625417266e-196,546
