"","model","term","estimate","se","zval","pval","ci.lb","ci.ub","QM_stat","QM_df","QM_pval","QE_stat","QE_df","QE_pval","k"
"1","ML_Z_family.0001","intrcpt",-0.0397644610237835,0.145817572112816,-0.272700062465851,0.78518289712572,-0.32617194043594,0.246643018388373,7.09852751425348,13,7.01931475200662e-13,2136.96319681107,568,4.60798189159539e-180,582
"2","ML_Z_family.0001","true_biomeoral",-0.406099539210977,0.146697837146767,-2.7682721648083,0.00581935990355059,-0.694235990556596,-0.117963087865358,7.09852751425348,13,7.01931475200662e-13,2136.96319681107,568,4.60798189159539e-180,582
"3","ML_Z_family.0001","true_biomerespiratory",0.102000464162732,0.178705580049236,0.570773806473361,0.568378715505012,-0.249003972388921,0.453004900714386,7.09852751425348,13,7.01931475200662e-13,2136.96319681107,568,4.60798189159539e-180,582
"4","ML_Z_family.0001","true_biomeskin",-0.019006545660731,0.118987235071221,-0.159736005709809,0.873145822262104,-0.252715237865564,0.214702146544102,7.09852751425348,13,7.01931475200662e-13,2136.96319681107,568,4.60798189159539e-180,582
"5","ML_Z_family.0001","true_biomevaginal",0.272045986931185,0.36907535080497,0.737101478973982,0.461364997044828,-0.452873097960906,0.996965071823276,7.09852751425348,13,7.01931475200662e-13,2136.96319681107,568,4.60798189159539e-180,582
"6","ML_Z_family.0001","disease",-0.22889678105601,0.079010428527089,-2.89704517901117,0.00391215309513791,-0.38408505743336,-0.0737085046786592,7.09852751425348,13,7.01931475200662e-13,2136.96319681107,568,4.60798189159539e-180,582
"7","ML_Z_family.0001","sustained_antibiotic",-0.032313884841355,0.0557172493692557,-0.579961954460471,0.562170252665237,-0.141750880125304,0.0771231104425938,7.09852751425348,13,7.01931475200662e-13,2136.96319681107,568,4.60798189159539e-180,582
"8","ML_Z_family.0001","sustained_probiotic",0.148081000384289,0.158791058489424,0.932552511413302,0.351447286768206,-0.163808342965621,0.459970343734199,7.09852751425348,13,7.01931475200662e-13,2136.96319681107,568,4.60798189159539e-180,582
"9","ML_Z_family.0001","development",-0.226770256558284,0.0917479423808373,-2.4716658561887,0.0137405878298745,-0.406976911612294,-0.0465636015042742,7.09852751425348,13,7.01931475200662e-13,2136.96319681107,568,4.60798189159539e-180,582
"10","ML_Z_family.0001","pregnancy",-0.664771300954621,0.456806528730755,-1.45525788084006,0.146150314190746,-1.56200751588467,0.232464913975427,7.09852751425348,13,7.01931475200662e-13,2136.96319681107,568,4.60798189159539e-180,582
