"","est","lower","upper","Study"
"M3659_Person.02.1_Hand",-0.737981621571245,-0.810930198151809,-0.665033044990682,"M3659_Person.02.1_Hand"
"M3659_Person.02.1_Nose",-0.737987744423421,-0.810949391855849,-0.665026096990994,"M3659_Person.02.1_Nose"
"M3659_Person.03.1_Foot",-0.738016804218563,-0.811004053894579,-0.665029554542546,"M3659_Person.03.1_Foot"
"M3659_Person.03.1_Hand",-0.738068322373109,-0.811105779187653,-0.665030865558564,"M3659_Person.03.1_Hand"
"M3659_Person.03.1_Nose",-0.738119398116615,-0.811215787214709,-0.665023009018522,"M3659_Person.03.1_Nose"
"M3659_Person.03.2_Foot",-0.738103609806578,-0.811178950075779,-0.665028269537376,"M3659_Person.03.2_Foot"
"M3659_Person.03.2_Hand",-0.738173517798966,-0.811324144702513,-0.665022890895419,"M3659_Person.03.2_Hand"
"M3659_Person.03.2_Nose",-0.737975607848033,-0.810920842279598,-0.665030373416468,"M3659_Person.03.2_Nose"
"M3659_Person.03.3_Foot",-0.738136581264876,-0.811252233963975,-0.665020928565777,"M3659_Person.03.3_Foot"
"M3659_Person.03.3_Hand",-0.738142971627996,-0.81126223303009,-0.665023710225901,"M3659_Person.03.3_Hand"
"M3659_Person.03.3_Nose",-0.738106573091588,-0.811187868145398,-0.665025278037779,"M3659_Person.03.3_Nose"
"M3659_Person.04.2_Foot",-0.738246419973328,-0.811471916857739,-0.665020923088916,"M3659_Person.04.2_Foot"
"M3659_Person.04.2_Hand",-0.738072658532101,-0.811115958078546,-0.665029358985656,"M3659_Person.04.2_Hand"
"M3659_Person.04.2_Nose",-0.738049833638141,-0.811070717510605,-0.665028949765677,"M3659_Person.04.2_Nose"
"M3659_Person.04.3_Foot",-0.738225817677235,-0.811430802437607,-0.665020832916862,"M3659_Person.04.3_Foot"
"M3659_Person.04.3_Hand",-0.7382245222377,-0.811427494945937,-0.665021549529463,"M3659_Person.04.3_Hand"
"M3659_Person.04.3_Nose",-0.738138301435353,-0.811250530636937,-0.665026072233769,"M3659_Person.04.3_Nose"
"M3659_Person.05.1_Foot",-0.738110909442894,-0.811194643434728,-0.665027175451059,"M3659_Person.05.1_Foot"
"M3659_Person.05.1_Hand",-0.738123964989001,-0.811220803940583,-0.665027126037419,"M3659_Person.05.1_Hand"
"M3659_Person.05.1_Nose",-0.738290525984042,-0.811564720454419,-0.665016331513665,"M3659_Person.05.1_Nose"
"M3659_Person.05.2_Foot",-0.738191701240516,-0.811361524185277,-0.665021878295754,"M3659_Person.05.2_Foot"
"M3659_Person.05.2_Hand",-0.738249110635312,-0.811478821318915,-0.665019399951708,"M3659_Person.05.2_Hand"
"M3659_Person.05.2_Nose",-0.738178785245123,-0.811332757564668,-0.665024812925579,"M3659_Person.05.2_Nose"
"M3659_Person.06.1_Foot",-0.738225018166771,-0.811430907586961,-0.66501912874658,"M3659_Person.06.1_Foot"
"M3659_Person.06.1_Hand",-0.738089003380901,-0.811150196790565,-0.665027809971237,"M3659_Person.06.1_Hand"
"M3659_Person.06.1_Nose",-0.738321626294285,-0.811629250441662,-0.665014002146908,"M3659_Person.06.1_Nose"
"M3659_Person.06.2_Foot",-0.738158728211515,-0.811292827860567,-0.665024628562462,"M3659_Person.06.2_Foot"
"M3659_Person.06.2_Hand",-0.738192458365068,-0.811362758004796,-0.665022158725339,"M3659_Person.06.2_Hand"
"M3659_Person.06.2_Nose",-0.738216089429422,-0.811408731279748,-0.665023447579096,"M3659_Person.06.2_Nose"
"M3659_Person.06.3_Foot",-0.738125143148042,-0.811224445621429,-0.665025840674656,"M3659_Person.06.3_Foot"
"M3659_Person.06.3_Hand",-0.738144680589069,-0.811264735706384,-0.665024625471753,"M3659_Person.06.3_Hand"
"M3659_Person.06.3_Nose",-0.738313871691009,-0.811612568729911,-0.665015174652107,"M3659_Person.06.3_Nose"
"M3659_Person.07.1_Foot",-0.738154290883904,-0.811283657344919,-0.665024924422889,"M3659_Person.07.1_Foot"
"M3659_Person.07.1_Hand",-0.738273665286655,-0.811530160741893,-0.665017169831416,"M3659_Person.07.1_Hand"
"M3659_Person.07.1_Nose",-0.738057701939165,-0.811084417348203,-0.665030986530127,"M3659_Person.07.1_Nose"
"M3659_Person.07.2_Foot",-0.738051582537837,-0.811071591910661,-0.665031573165013,"M3659_Person.07.2_Foot"
"M3659_Person.07.2_Hand",-0.738304426676315,-0.811595129061033,-0.665013724291596,"M3659_Person.07.2_Hand"
"M3659_Person.07.2_Nose",-0.73803351527852,-0.811035052280332,-0.665031978276708,"M3659_Person.07.2_Nose"
"M4708_X11_lung",-0.737428386737585,-0.811111802441242,-0.663744971033928,"M4708_X11_lung"
"M4729_ARI.0002_nasopharyngeal",-0.73753358506774,-0.810653311208785,-0.664413858926694,"M4729_ARI.0002_nasopharyngeal"
"M4729_ARI.0031_nasopharyngeal",-0.737979295085146,-0.811100602118077,-0.664857988052215,"M4729_ARI.0031_nasopharyngeal"
"M4729_ARI.0073_nasopharyngeal",-0.737533826557374,-0.810632726118587,-0.664434926996161,"M4729_ARI.0073_nasopharyngeal"
"M4729_ARI.0106_nasopharyngeal",-0.737718482656595,-0.810822280806423,-0.664614684506767,"M4729_ARI.0106_nasopharyngeal"
"M4729_ARI.0129_nasopharyngeal",-0.738716770645994,-0.811930704583474,-0.665502836708514,"M4729_ARI.0129_nasopharyngeal"
"M4729_ARI.0141_nasopharyngeal",-0.738365532787087,-0.811537077913338,-0.665193987660836,"M4729_ARI.0141_nasopharyngeal"
"M4729_ARI.0179_nasopharyngeal",-0.73792459649068,-0.811054705328053,-0.664794487653308,"M4729_ARI.0179_nasopharyngeal"
"M4729_ARI.0203_nasopharyngeal",-0.738326908684313,-0.81148665973239,-0.665167157636237,"M4729_ARI.0203_nasopharyngeal"
