sample_accession	physical_samp_avail_now	collection_date	body_product	percent_male	host_taxid	subject	moved	sample_id	source1	host subject id	source	house_day_surface	assigned_from_geo	ENA-FIRST-PUBLIC	ENA-LAST-UPDATE	sample_order	emp_status	illumina_technology	number_children	day	longitude	sample_name	env_feature	plateid	organism	percent_adult_residents	surface	samp_size	scientific_name	sample_tube_id	life_stage	altitude	anonymized_name	latitude	pet_farm_animal	house_day_subject_surface	house	house_surface	move_time	""PUBLIC""	env_biome	host_common_name	geographic location (country and/or sea)	elevation	number_residents_human	sourcesink	ENA-CHECKLIST	sample_progress	taxon_id	body_site	sample_location	body_habitat	extracted_dna_avail_now	depth	hiseqlane	well	env_matter	subject_surface	time	family	notes	sex
SAMEA2519567																																																														
SAMEA2519569																																																														
SAMEA2519570																																																														
SAMEA2519574																																																														
SAMEA2519577																																																														
SAMEA2519579																																																														
SAMEA2519581																																																														
SAMEA2519582																																																														
SAMEA2519584																																																														
SAMEA2519585																																																														
SAMEA2519595																																																														
SAMEA2519596																																																														
SAMEA2519599																																																														
SAMEA2519604																																																														
SAMEA2519616																																																														
SAMEA2519617																																																														
SAMEA2519621																																																														
SAMEA2519627																																																														
SAMEA2519630																																																														
SAMEA2519636																																																														
SAMEA2519639																																																														
SAMEA2519640																																																														
SAMEA2519642																																																														
SAMEA2519643																																																														
SAMEA2519644																																																														
SAMEA2519652																																																														
SAMEA2519655																																																														
SAMEA2519656																																																														
SAMEA2519664																																																														
SAMEA2519667																																																														
SAMEA2519675																																																														
SAMEA2519676																																																														
SAMEA2519681																																																														
SAMEA2519683																																																														
SAMEA2519685																																																														
SAMEA2519691																																																														
SAMEA2519695																																																														
SAMEA2519697																																																														
SAMEA2519698																																																														
SAMEA2519700																																																														
SAMEA2519705																																																														
SAMEA2519710																																																														
SAMEA2519712																																																														
SAMEA2519714																																																														
SAMEA2519716																																																														
SAMEA2519718																																																														
SAMEA2519719																																																														
SAMEA2519723																																																														
SAMEA2519727																																																														
SAMEA2519728																																																														
SAMEA2519731																																																														
SAMEA2519732																																																														
SAMEA2519733																																																														
SAMEA2519738																																																														
SAMEA2519742																																																														
SAMEA2519746																																																														
SAMEA2519752																																																														
SAMEA2519756																																																														
SAMEA2519764																																																														
SAMEA2519765																																																														
SAMEA2519768																																																														
SAMEA2519769																																																														
SAMEA2519771																																																														
SAMEA2519775																																																														
SAMEA2519777																																																														
SAMEA2519778																																																														
SAMEA2519781																																																														
SAMEA2519784																																																														
SAMEA2519785																																																														
SAMEA2519790																																																														
SAMEA2519793																																																														
SAMEA2519795																																																														
SAMEA2519797																																																														
SAMEA2519803																																																														
SAMEA2519807																																																														
SAMEA2519808																																																														
SAMEA2519810																																																														
SAMEA2519817																																																														
SAMEA2519819																																																														
SAMEA2519822																																																														
SAMEA2519823																																																														
SAMEA2519829																																																														
SAMEA2519832																																																														
SAMEA2519836																																																														
SAMEA2519837																																																														
SAMEA2519838																																																														
SAMEA2519842																																																														
SAMEA2519844																																																														
SAMEA2519850																																																														
SAMEA2519851																																																														
SAMEA2519856																																																														
SAMEA2519864																																																														
SAMEA2519866																																																														
SAMEA2519872																																																														
SAMEA2519875																																																														
SAMEA2519876																																																														
SAMEA2519887																																																														
SAMEA2519890																																																														
SAMEA2519891																																																														
SAMEA2519892																																																														
SAMEA2519893																																																														
SAMEA2519900																																																														
SAMEA2519903																																																														
SAMEA2519906																																																														
SAMEA2519909																																																														
SAMEA2519910																																																														
SAMEA2519917																																																														
SAMEA2519920																																																														
SAMEA2519921																																																														
SAMEA2519922																																																														
SAMEA2519923																																																														
SAMEA2519925																																																														
SAMEA2519928																																																														
SAMEA2519929																																																														
SAMEA2519936																																																														
SAMEA2519939																																																														
SAMEA2519942																																																														
SAMEA2519946																																																														
SAMEA2519950																																																														
SAMEA2519953																																																														
SAMEA2519954																																																														
SAMEA2519957																																																														
SAMEA2519960																																																														
SAMEA2519962																																																														
SAMEA2519964																																																														
SAMEA2519970																																																														
SAMEA2519972																																																														
SAMEA2519973																																																														
SAMEA2519974																																																														
SAMEA2519979																																																														
SAMEA2519981																																																														
SAMEA2519982																																																														
SAMEA2519984																																																														
SAMEA2519985																																																														
SAMEA2519988																																																														
SAMEA2519993																																																														
SAMEA2519994																																																														
SAMEA2520000																																																														
SAMEA2520003																																																														
SAMEA2520005																																																														
SAMEA2520017																																																														
SAMEA2520019																																																														
SAMEA2520021																																																														
SAMEA2520024																																																														
SAMEA2520025																																																														
SAMEA2520035																																																														
SAMEA2520046																																																														
SAMEA2520048																																																														
SAMEA2520050																																																														
SAMEA2520051																																																														
SAMEA2520054																																																														
SAMEA2520055																																																														
SAMEA2520060																																																														
SAMEA2520062																																																														
SAMEA2520067																																																														
SAMEA2520069																																																														
SAMEA2520072																																																														
SAMEA2520073																																																														
SAMEA2520076																																																														
SAMEA2520078																																																														
SAMEA2520079																																																														
SAMEA2520080																																																														
SAMEA2520081																																																														
SAMEA2520085																																																														
SAMEA2520088																																																														
SAMEA2520092																																																														
SAMEA2520099																																																														
SAMEA2520100																																																														
SAMEA2520104																																																														
SAMEA2520108																																																														
SAMEA2520109																																																														
SAMEA2520113																																																														
SAMEA2520117																																																														
SAMEA2520119																																																														
SAMEA2520122																																																														
SAMEA2520123																																																														
SAMEA2520130																																																														
SAMEA2520131																																																														
SAMEA2520132																																																														
SAMEA2520134																																																														
SAMEA2520140																																																														
SAMEA2520142																																																														
SAMEA2520145																																																														
SAMEA2520146																																																														
SAMEA2520148																																																														
SAMEA2520150																																																														
SAMEA2520151																																																														
SAMEA2520153																																																														
SAMEA2520154																																																														
SAMEA2520158																																																														
SAMEA2520161																																																														
SAMEA2520164																																																														
SAMEA2520166																																																														
SAMEA2520167																																																														
SAMEA2520168																																																														
