sample_accession	Group	collection_date	INSDC secondary accession	Unique Index	organism	env_broad_scale	Baseline	env_local_scale	Subject ID	NCBI submission package	Antibiotics	geo_loc_name	Day	env_medium	lat_lon	BioSampleModel	ENA-FIRST-PUBLIC	ENA-LAST-UPDATE	Gender	Type	Days	Stage	Subject.ID	Age
SAMN11251079																								
SAMN11251076																								
SAMN11251077																								
SAMN11251078																								
SAMN11251439																								
SAMN10871527																								
SAMN10871526																								
SAMN10871522																								
SAMN10871520																								
SAMN11251521																								
SAMN11251522																								
SAMN11251538																								
SAMN11251579																								
SAMN11251537																								
SAMN11251380																								
SAMN10871653																								
SAMN10871326																								
SAMN10871320																								
SAMN10871318																								
SAMN10871319																								
SAMN10871324																								
SAMN10871325																								
SAMN11251466																								
SAMN11251467																								
SAMN11251410																								
SAMN11251463																								
SAMN11251405																								
SAMN11251402																								
SAMN11251403																								
SAMN10871356																								
SAMN10871355																								
SAMN10871354																								
SAMN10871353																								
SAMN10871351																								
SAMN10871350																								
SAMN10871349																								
SAMN10871348																								
SAMN11251566																								
SAMN11251122																								
SAMN11251512																								
SAMN10871306																								
SAMN10871616																								
SAMN10871611																								
SAMN10871610																								
SAMN10871608																								
SAMN10871554																								
SAMN10871555																								
SAMN10871552																								
SAMN10871549																								
SAMN10871686																								
SAMN10871680																								
SAMN10871682																								
SAMN11251499																								
SAMN11251576																								
SAMN11251366																								
SAMN10871311																								
SAMN10871310																								
SAMN10871308																								
SAMN10871315																								
SAMN10871316																								
SAMN11251475																								
SAMN11251476																								
SAMN11251478																								
SAMN11251472																								
SAMN11251473																								
SAMN11251474																								
SAMN11251088																								
SAMN11251084																								
SAMN11251083																								
SAMN11251082																								
SAMN11251081																								
SAMN11251090																								
SAMN10871511																								
SAMN10871514																								
SAMN10871515																								
SAMN10871512																								
SAMN10871606																								
SAMN11251133																								
SAMN11251137																								
SAMN11251526																								
SAMN10871664																								
SAMN10871665																								
SAMN10871660																								
SAMN10871661																								
SAMN10871658																								
SAMN10871666																								
SAMN10871667																								
SAMN10871384																								
SAMN10871379																								
SAMN10871381																								
SAMN11251099																								
SAMN11251100																								
SAMN11251098																								
SAMN11251096																								
SAMN11251092																								
SAMN10871626																								
SAMN10871623																								
SAMN10871545																								
SAMN10871541																								
SAMN10871540																								
SAMN10871389																								
SAMN10871388																								
SAMN10871393																								
SAMN10871694																								
SAMN10871691																								
SAMN10871688																								
SAMN11251399																								
SAMN11251517																								
SAMN11251565																								
SAMN10871339																								
SAMN10871341																								
SAMN10871343																								
SAMN10871345																								
SAMN11251562																								
SAMN11251484																								
SAMN11251482																								
SAMN11251485																								
SAMN11251055																								
SAMN11251056																								
SAMN10871303																								
SAMN10871304																								
SAMN11251384																								
SAMN11251381																								
SAMN11251388																								
SAMN11251385																								
SAMN11251386																								
SAMN11251567																								
SAMN10871502																								
SAMN10871497																								
SAMN11251141																								
SAMN11251148																								
SAMN10871594																								
SAMN10871595																								
SAMN10871592																								
SAMN10871668																								
SAMN10871577																								
SAMN10871670																								
SAMN10871572																								
SAMN10871574																								
SAMN10871570																								
SAMN11251462																								
SAMN11251447																								
SAMN11251552																								
SAMN11251545																								
SAMN11251544																								
SAMN11251513																								
SAMN11251425																								
SAMN11251421																								
SAMN10871373																								
SAMN10871375																								
SAMN10871374																								
SAMN10871369																								
SAMN10871370																								
SAMN10871376																								
SAMN11251110																								
SAMN11251109																								
SAMN11251102																								
SAMN11251103																								
SAMN11251571																								
SAMN11251433																								
SAMN10871628																								
SAMN10871630																								
SAMN10871634																								
SAMN10871528																								
SAMN10871529																								
SAMN10871530																								
SAMN10871531																								
SAMN10871535																								
SAMN10871537																								
SAMN11251390																								
SAMN10871642																								
SAMN10871643																								
SAMN10871645																								
SAMN10871641																								
SAMN10871334																								
SAMN11251458																								
SAMN11251456																								
SAMN11251063																								
SAMN11251066																								
SAMN11251067																								
SAMN11251557																								
SAMN11251111																								
SAMN11251112																								
SAMN11251114																								
SAMN11251119																								
SAMN11251508																								
SAMN10871579																								
SAMN10871581																								
SAMN10871580																								
SAMN10871598																								
SAMN10871599																								
SAMN10871602																								
SAMN10871560																								
SAMN10871565																								
SAMN10871563																								
SAMN10871562																								
SAMN11251497																								
SAMN11251498																								
SAMN11251491																								
SAMN11251495																								
SAMN11251420																								
SAMN10871364																								
SAMN10871362																								
SAMN10871367																								
SAMN11251080																								
SAMN11251071																								
SAMN11251072																								
SAMN11251074																								
SAMN11251542																								
SAMN11251535																								
SAMN11251551																								
SAMN11251554																								
SAMN11251548																								
SAMN10871656																								
SAMN10871650																								
SAMN10871649																								
SAMN10871655																								
SAMN10871654																								
SAMN11251406																								
SAMN11251408																								
SAMN11251401																								
SAMN11251404																								
SAMN10871357																								
SAMN10871352																								
SAMN11251123																								
SAMN11251121																								
SAMN11251128																								
SAMN11251126																								
SAMN11251125																								
SAMN11251130																								
SAMN11251050																								
SAMN10871307																								
SAMN10871617																								
SAMN10871615																								
SAMN10871614																								
SAMN10871613																								
SAMN10871612																								
SAMN10871553																								
SAMN10871550																								
SAMN10871551																								
SAMN10871548																								
SAMN10871556																								
SAMN10871687																								
SAMN10871679																								
SAMN10871681																								
SAMN10871683																								
SAMN10871684																								
SAMN10871685																								
SAMN10871301																								
SAMN10871300																								
SAMN11251504																								
SAMN11251502																								
SAMN11251501																								
SAMN11251577																								
SAMN11251578																								
SAMN11251363																								
SAMN11251367																								
SAMN11251369																								
SAMN11251370																								
SAMN10871314																								
SAMN11251479																								
SAMN11251480																								
SAMN11251477																								
SAMN11251375																								
SAMN11251085																								
SAMN11251089																								
SAMN10871566																								
SAMN11251438																								
SAMN10871509																								
SAMN11251569																								
SAMN11251139																								
SAMN11251140																								
SAMN11251519																								
SAMN11251518																								
SAMN11251581																								
SAMN11251134																								
SAMN10871607																								
SAMN11251132																								
SAMN11251138																								
SAMN11251135																								
SAMN11251530																								
SAMN11251541																								
SAMN11251539																								
SAMN10871662																								
SAMN10871663																								
SAMN10871659																								
SAMN10871382																								
SAMN10871385																								
SAMN10871380																								
SAMN11251505																								
SAMN11251506																								
SAMN11251094																								
SAMN10871620																								
SAMN10871619																								
SAMN10871624																								
SAMN10871625																								
SAMN10871543																								
SAMN10871539																								
SAMN10871538																								
SAMN10871391																								
SAMN10871392																								
SAMN11251461																								
SAMN10871695																								
SAMN10871692																								
SAMN11251350																								
SAMN10871696																								
SAMN11251470																								
SAMN11251359																								
SAMN11251358																								
SAMN11251357																								
SAMN11251356																								
SAMN11251509																								
SAMN11251394																								
SAMN11251393																								
SAMN11251397																								
SAMN11251395																								
SAMN10871340																								
SAMN10871342																								
SAMN11251563																								
SAMN11251561																								
SAMN11251559																								
SAMN11251560																								
SAMN11251355																								
SAMN11251353																								
SAMN11251351																								
SAMN11251489																								
SAMN11251483																								
SAMN11251481																								
SAMN11251486																								
SAMN11251053																								
SAMN11251051																								
SAMN11251052																								
SAMN11251057																								
SAMN11251058																								
SAMN10871299																								
SAMN10871298																								
SAMN11251059																								
SAMN11251383																								
SAMN11251387																								
SAMN10871507																								
SAMN10871498																								
SAMN10871503																								
SAMN10871504																								
SAMN11251142																								
SAMN11251146																								
SAMN10871591																								
SAMN10871588																								
SAMN10871589																								
SAMN10871593																								
SAMN10871596																								
SAMN10871597																								
SAMN10871672																								
SAMN10871675																								
SAMN10871575																								
SAMN10871569																								
SAMN11251444																								
SAMN11251445																								
SAMN11251546																								
SAMN11251549																								
SAMN11251547																								
SAMN11251448																								
SAMN11251430																								
SAMN10871368																								
SAMN10871371																								
SAMN11251106																								
SAMN11251105																								
SAMN11251107																								
SAMN11251572																								
SAMN11251520																								
SAMN11251436																								
SAMN11251435																								
SAMN11251431																								
SAMN10871631																								
SAMN10871632																								
SAMN10871532																								
SAMN10871534																								
SAMN10871386																								
SAMN11251131																								
SAMN10871647																								
SAMN10871639																								
SAMN10871640																								
SAMN10871337																								
SAMN10871329																								
SAMN10871330																								
SAMN10871333																								
SAMN10871335																								
SAMN11251455																								
SAMN11251453																								
SAMN11251452																								
SAMN11251459																								
SAMN11251543																								
SAMN11251062																								
SAMN11251061																								
SAMN11251064																								
SAMN11251068																								
SAMN11251069																								
SAMN11251558																								
SAMN11251515																								
SAMN11251580																								
SAMN11251514																								
SAMN11251534																								
SAMN11251116																								
SAMN10871582																								
SAMN10871584																								
SAMN10871587																								
SAMN10871586																								
SAMN10871601																								
SAMN10871603																								
SAMN10871605																								
SAMN10871561																								
SAMN10871558																								
SAMN10871564																								
SAMN11251575																								
SAMN11251492																								
SAMN11251494																								
SAMN11251416																								
SAMN11251418																								
SAMN11251417																								
SAMN10871365																								
SAMN10871361																								
SAMN10871358																								
SAMN11251073																								
SAMN11251075																								
SAMN10871525																								
SAMN10871524																								
SAMN10871523																								
SAMN10871521																								
SAMN10871519																								
