sample_accession	strain	collection_date	isol_growth_condt	organism	env_broad_scale	BioSampleModel	samp_store_temp	samp_collect_device	env_local_scale	host_age_days	host_subject_id	isolate	ENA-FIRST-PUBLIC	cultivar	ENA-LAST-UPDATE	samp_vol_we_dna_ext	host	geo_loc_name	ecotype	env_medium	lat_lon	DNA extraction kit	INSDC secondary accession	control identifier	WRrepeats	sex	16S rRNA gene copies per ul	tissue	Read counts following bioinformatics	sample_type	NCBI submission package	BRrepeats	Read counts from sequencer	age	biomaterial_provider	isolation_source
SAMN24247713																																				
SAMN24247711																																				
SAMN24247707																																				
SAMN24247706																																				
SAMN24247705																																				
SAMN24247704																																				
SAMN24247702																																				
SAMN24247698																																				
SAMN24247697																																				
SAMN24247696																																				
SAMN24247685																																				
SAMN24247684																																				
SAMN24247681																																				
SAMN24247678																																				
SAMN24247658																																				
SAMN24247657																																				
SAMN24247651																																				
SAMN24247653																																				
SAMN24247649																																				
SAMN24247647																																				
SAMN24247645																																				
SAMN24247765																																				
SAMN24247725																																				
SAMN24247724																																				
SAMN24247723																																				
SAMN24247720																																				
SAMN24247638																																				
SAMN24247718																																				
SAMN24247715																																				
SAMN24247714																																				
SAMN24247671																																				
SAMN24247668																																				
SAMN24247666																																				
SAMN24247665																																				
SAMN24247663																																				
SAMN24247660																																				
SAMN24247659																																				
SAMN24247760																																				
SAMN24247755																																				
SAMN24247754																																				
SAMN24247752																																				
SAMN24247750																																				
SAMN24247641																																				
SAMN24247741																																				
SAMN24247640																																				
SAMN24247735																																				
SAMN24247734																																				
SAMN24247732																																				
SAMN24247731																																				
SAMN24247730																																				
SAMN24247630																																				
SAMN25079333																																				
SAMN25079325																																				
SAMN25079320																																				
SAMN25079261																																				
SAMN25079259																																				
SAMN25079389																																				
SAMN25079388																																				
SAMN25079385																																				
SAMN25079382																																				
SAMN25079381																																				
SAMN25079312																																				
SAMN25079308																																				
SAMN25079306																																				
SAMN25079250																																				
SAMN25079303																																				
SAMN25079371																																				
SAMN25079370																																				
SAMN25079369																																				
SAMN25079368																																				
SAMN25079367																																				
SAMN25079366																																				
SAMN25079365																																				
SAMN25079364																																				
SAMN25079256																																				
SAMN25079361																																				
SAMN25079360																																				
SAMN25079358																																				
SAMN25079357																																				
SAMN25079353																																				
SAMN25079352																																				
SAMN25079351																																				
SAMN25079349																																				
SAMN25079345																																				
SAMN25079254																																				
SAMN25079244																																				
SAMN25174424																																				
SAMN25174417																																				
SAMN25174416																																				
SAMN25174414																																				
SAMN25174413																																				
SAMN25174407																																				
SAMN25174452																																				
SAMN25174450																																				
SAMN25174449																																				
SAMN25174510																																				
SAMN25174387																																				
SAMN25174504																																				
SAMN25174502																																				
SAMN25174500																																				
SAMN25174498																																				
SAMN25174494																																				
SAMN25174438																																				
SAMN25174437																																				
SAMN25174428																																				
SAMN25174425																																				
SAMN25174492																																				
SAMN25174491																																				
SAMN25174490																																				
SAMN25174484																																				
SAMN25174477																																				
SAMN25174476																																				
SAMN25174474																																				
SAMN25174384																																				
