sample_accession	collection_date	INSDC secondary accession	NCBI submission package	organism	geo_loc_name	lat_lon	isolation_source	BioSampleModel	ENA-FIRST-PUBLIC	ENA-LAST-UPDATE
SAMN06209756	2013-07-20	SRS1910932	Metagenome.environmental.1.0	human lung metagenome	Canada: Calgary	51.06 N 114.13 W	participant_E	Metagenome or environmental	2017-01-15	2021-02-28
SAMN06209794	2012-09-17	SRS1910934	Metagenome.environmental.1.0	human lung metagenome	Canada: Calgary	51.06 N 114.13 W	participant_C	Metagenome or environmental	2017-01-15	2021-02-28
SAMN06209762	2012-11-07	SRS1910935	Metagenome.environmental.1.0	human lung metagenome	Canada: Calgary	51.06 N 114.13 W	participant_B	Metagenome or environmental	2017-01-15	2021-02-28
SAMN06209807	2012-10-26	SRS1910937	Metagenome.environmental.1.0	human lung metagenome	Canada: Calgary	51.06 N 114.13 W	participant_D	Metagenome or environmental	2017-01-15	2021-02-28
SAMN06209820	2013-06-24	SRS1910941	Metagenome.environmental.1.0	human lung metagenome	Canada: Calgary	51.06 N 114.13 W	participant_B	Metagenome or environmental	2017-01-15	2021-02-28
SAMN06209830	2012-10-15	SRS1910944	Metagenome.environmental.1.0	human lung metagenome	Canada: Calgary	51.06 N 114.13 W	participant_E	Metagenome or environmental	2017-01-15	2021-02-28
SAMN06209747	2012-12-03	SRS1910948	Metagenome.environmental.1.0	human lung metagenome	Canada: Calgary	51.06 N 114.13 W	participant_D	Metagenome or environmental	2017-01-15	2021-02-28
SAMN06209777	2013-03-11	SRS1910836	Metagenome.environmental.1.0	human lung metagenome	Canada: Calgary	51.06 N 114.13 W	participant_E	Metagenome or environmental	2017-01-15	2021-02-28
SAMN06209754	2013-07-15	SRS1910838	Metagenome.environmental.1.0	human lung metagenome	Canada: Calgary	51.06 N 114.13 W	participant_E	Metagenome or environmental	2017-01-15	2021-02-28
SAMN06209829	2012-10-03	SRS1910839	Metagenome.environmental.1.0	human lung metagenome	Canada: Calgary	51.06 N 114.13 W	participant_E	Metagenome or environmental	2017-01-15	2021-02-28
SAMN06209833	2012-12-05	SRS1910840	Metagenome.environmental.1.0	human lung metagenome	Canada: Calgary	51.06 N 114.13 W	participant_E	Metagenome or environmental	2017-01-15	2021-02-28
SAMN06209763	2012-11-09	SRS1910841	Metagenome.environmental.1.0	human lung metagenome	Canada: Calgary	51.06 N 114.13 W	participant_B	Metagenome or environmental	2017-01-15	2021-02-28
SAMN06209818	2013-05-01	SRS1910842	Metagenome.environmental.1.0	human lung metagenome	Canada: Calgary	51.06 N 114.13 W	participant_B	Metagenome or environmental	2017-01-15	2021-02-28
SAMN06209772	2013-02-25	SRS1910847	Metagenome.environmental.1.0	human lung metagenome	Canada: Calgary	51.06 N 114.13 W	participant_E	Metagenome or environmental	2017-01-15	2021-02-28
SAMN06209732	2012-08-27	SRS1910851	Metagenome.environmental.1.0	human lung metagenome	Canada: Calgary	51.06 N 114.13 W	participant_A	Metagenome or environmental	2017-01-15	2021-02-28
SAMN06209741	2012-09-10	SRS1910852	Metagenome.environmental.1.0	human lung metagenome	Canada: Calgary	51.06 N 114.13 W	participant_D	Metagenome or environmental	2017-01-15	2021-02-28
SAMN06209824	2012-09-28	SRS1910853	Metagenome.environmental.1.0	human lung metagenome	Canada: Calgary	51.06 N 114.13 W	participant_F	Metagenome or environmental	2017-01-15	2021-02-28
SAMN06209792	2012-07-23	SRS1910858	Metagenome.environmental.1.0	human lung metagenome	Canada: Calgary	51.06 N 114.13 W	participant_C	Metagenome or environmental	2017-01-15	2021-02-28
SAMN06209748	2012-10-03	SRS1910859	Metagenome.environmental.1.0	human lung metagenome	Canada: Calgary	51.06 N 114.13 W	participant_D	Metagenome or environmental	2017-01-15	2021-02-28
SAMN06209804	2013-07-08	SRS1910861	Metagenome.environmental.1.0	human lung metagenome	Canada: Calgary	51.06 N 114.13 W	participant_C	Metagenome or environmental	2017-01-15	2021-02-28
SAMN06209811	2012-11-28	SRS1910863	Metagenome.environmental.1.0	human lung metagenome	Canada: Calgary	51.06 N 114.13 W	participant_B	Metagenome or environmental	2017-01-15	2021-02-28
SAMN06209817	2013-04-01	SRS1910865	Metagenome.environmental.1.0	human lung metagenome	Canada: Calgary	51.06 N 114.13 W	participant_B	Metagenome or environmental	2017-01-15	2021-02-28
SAMN06209841	2012-09-05	SRS1910866	Metagenome.environmental.1.0	human lung metagenome	Canada: Calgary	51.06 N 114.13 W	participant_A	Metagenome or environmental	2017-01-15	2021-02-28
SAMN06209790	2013-10-18	SRS1910868	Metagenome.environmental.1.0	human lung metagenome	Canada: Calgary	51.06 N 114.13 W	participant_E	Metagenome or environmental	2017-01-15	2021-02-28
SAMN06209809	2012-07-06	SRS1910875	Metagenome.environmental.1.0	human lung metagenome	Canada: Calgary	51.06 N 114.13 W	participant_B	Metagenome or environmental	2017-01-15	2021-02-28
SAMN06209838	2013-07-08	SRS1910878	Metagenome.environmental.1.0	human lung metagenome	Canada: Calgary	51.06 N 114.13 W	participant_E	Metagenome or environmental	2017-01-15	2021-02-28
SAMN06209840	2013-09-04	SRS1910883	Metagenome.environmental.1.0	human lung metagenome	Canada: Calgary	51.06 N 114.13 W	participant_E	Metagenome or environmental	2017-01-15	2021-02-28
SAMN06209798	2013-01-14	SRS1910885	Metagenome.environmental.1.0	human lung metagenome	Canada: Calgary	51.06 N 114.13 W	participant_C	Metagenome or environmental	2017-01-15	2021-02-28
SAMN06209844	2013-05-20	SRS1910894	Metagenome.environmental.1.0	human lung metagenome	Canada: Calgary	51.06 N 114.13 W	participant_E	Metagenome or environmental	2017-01-15	2021-02-28
SAMN06209846	2013-06-10	SRS1910899	Metagenome.environmental.1.0	human lung metagenome	Canada: Calgary	51.06 N 114.13 W	participant_E	Metagenome or environmental	2017-01-15	2021-02-28
SAMN06209806	2012-10-15	SRS1910901	Metagenome.environmental.1.0	human lung metagenome	Canada: Calgary	51.06 N 114.13 W	participant_D	Metagenome or environmental	2017-01-15	2021-02-28
