sample_accession	lung/pulmonary disorder	ENA-CHECKLIST	environment (material)	organism	collection date	geographic location (longitude)	geographic location (latitude)	scientific_name	host subject id	investigation type	host body product	ENA-FIRST-PUBLIC	project name	sequencing method	ENA-LAST-UPDATE	environment (biome)	human-associated environmental package	environment (feature)	geographic location (country and/or sea)	miscellaneous parameter
SAMEA5554295																				
SAMEA5554297																				
SAMEA5554288																				
SAMEA5554299																				
SAMEA5554302																				
SAMEA5554304																				
SAMEA5554309																				
SAMEA7379574																				
SAMEA5554291																				
SAMEA5554292																				
SAMEA5554298																				
SAMEA5554306																				
SAMEA5554308																				
SAMEA5554310																				
SAMEA5554290																				
SAMEA5554293																				
SAMEA5554294																				
SAMEA5554296																				
SAMEA5554287																				
SAMEA5554289																				
SAMEA5554300																				
SAMEA5554301																				
SAMEA5554303																				
SAMEA5554305																				
SAMEA5554307																				
SAMEA5554311																				
SAMEA7379573																				
