sample_accession	collection_date	env_feature	INSDC secondary accession	organism	host_body_product	host_subject_id	birthweight	NCBI submission package	env_material	host_sex	host	geo_loc_name	host_day_of_life	env_biome	lat_lon	BioSampleModel	ENA-FIRST-PUBLIC	ENA-LAST-UPDATE	isolation_source
SAMN04436686																			
SAMN04436752																			
SAMN04436603																			
SAMN04436622																			
SAMN04436702																			
SAMN04436790																			
SAMN04436832																			
SAMN04440570																			
SAMN04436671																			
SAMN04436793																			
SAMN04436678																			
SAMN04436717																			
SAMN04436799																			
SAMN04436590																			
SAMN04440573																			
SAMN04436679																			
SAMN04436716																			
SAMN04436743																			
SAMN04436703																			
SAMN04440575																			
SAMN04436635																			
SAMN04436909																			
SAMN04436683																			
SAMN04436749																			
SAMN04436670																			
SAMN04436961																			
SAMN04436607																			
SAMN04436906																			
SAMN04440582																			
SAMN04436677																			
SAMN04440583																			
SAMN04436608																			
SAMN04436901																			
SAMN04440586																			
SAMN04436634																			
SAMN04436770																			
SAMN04436684																			
SAMN04436857																			
SAMN04436924																			
SAMN04436602																			
SAMN04436844																			
SAMN04436813																			
SAMN04440585																			
SAMN04436779																			
SAMN04436789																			
SAMN04436839																			
SAMN04436621																			
SAMN04436711																			
SAMN04436830																			
SAMN04436908																			
SAMN04436654																			
SAMN04436630																			
SAMN04436771																			
SAMN04436803																			
SAMN04436666																			
SAMN04436884																			
SAMN04436762																			
SAMN04436617																			
SAMN04436842																			
SAMN04436632																			
SAMN04436883																			
SAMN04436862																			
SAMN04436614																			
SAMN04436804																			
SAMN04436600																			
SAMN04436904																			
SAMN04436639																			
SAMN04436675																			
SAMN04436629																			
SAMN04436769																			
SAMN04436641																			
SAMN04436850																			
SAMN04436609																			
SAMN04436983																			
SAMN04436925																			
SAMN04436612																			
SAMN04436829																			
SAMN04436940																			
SAMN04436856																			
SAMN04436933																			
SAMN04436619																			
SAMN04436881																			
SAMN04436720																			
SAMN04436597																			
SAMN04436605																			
SAMN04436822																			
SAMN04436615																			
SAMN04436729																			
SAMN04436989																			
SAMN04436887																			
SAMN04436646																			
