sample_accession	strain	collection_date	isol_growth_condt	env_feature	INSDC secondary accession	organism	host_fev1	isolate	host_age	NCBI submission package	cultivar	env_material	host_clinical_state	host	geo_loc_name	ecotype	env_biome	lat_lon	host_disease_aggressiveness	BioSampleModel	ENA-FIRST-PUBLIC	ENA-LAST-UPDATE
SAMN08204223																						
SAMN08204221																						
SAMN08204225																						
SAMN08204227																						
SAMN08204230																						
SAMN08204224																						
SAMN08204228																						
SAMN08204180																						
SAMN08203979																						
SAMN08203977																						
SAMN08204226																						
SAMN08204327																						
SAMN08203916																						
SAMN08204179																						
SAMN08203915																						
SAMN08203911																						
SAMN08204235																						
SAMN08204237																						
SAMN08204232																						
SAMN08204236																						
SAMN08204174																						
SAMN08204059																						
SAMN08203917																						
SAMN08204055																						
SAMN08203920																						
SAMN08204056																						
SAMN08204233																						
SAMN08204058																						
SAMN08204127																						
SAMN08204234																						
SAMN08204124																						
SAMN08204329																						
SAMN08203939																						
SAMN08203937																						
SAMN08203940																						
SAMN08203932																						
SAMN08204467																						
SAMN08204465																						
SAMN08204463																						
SAMN08204462																						
SAMN08204362																						
SAMN08204214																						
SAMN08204470																						
SAMN08204469																						
SAMN08204032																						
SAMN08203970																						
SAMN08204439																						
SAMN08204351																						
SAMN08203966																						
SAMN08203962																						
SAMN08204060																						
SAMN08204173																						
SAMN08204057																						
SAMN08204052																						
SAMN08204122																						
SAMN08204130																						
SAMN08204053																						
SAMN08204051																						
SAMN08204121																						
SAMN08204123																						
SAMN08204324																						
SAMN08203935																						
SAMN08204134																						
SAMN08204466																						
SAMN08204468																						
SAMN08204464																						
SAMN08204096																						
SAMN08204093																						
SAMN08204037																						
SAMN08204091																						
SAMN08204036																						
SAMN08204038																						
SAMN08204034																						
SAMN08204099																						
SAMN08204031																						
SAMN08204033																						
SAMN08204352																						
SAMN08204358																						
SAMN08204357																						
SAMN08204356																						
SAMN08203964																						
SAMN08204355																						
SAMN08203967																						
SAMN08204172																						
SAMN08203968																						
SAMN08203890																						
SAMN08204092																						
SAMN08203882																						
SAMN08203881																						
SAMN08203883																						
SAMN08204288																						
SAMN08204285																						
SAMN08204289																						
SAMN08204282																						
SAMN08204281																						
SAMN08204114																						
SAMN08204412																						
SAMN08204097																						
SAMN08204413																						
SAMN08204095																						
SAMN08204100																						
SAMN08204454																						
SAMN08204453																						
SAMN08204272																						
SAMN08204178																						
SAMN08204432																						
SAMN08204274																						
SAMN08204435																						
SAMN08204042																						
SAMN08204436																						
SAMN08204044																						
SAMN08204049																						
SAMN08204177																						
SAMN08203889																						
SAMN08203886																						
SAMN08203885																						
SAMN08203887																						
SAMN08204284																						
SAMN08204142																						
SAMN08204119																						
SAMN08204046																						
SAMN08204267																						
SAMN08204364																						
SAMN08204015																						
SAMN08204018																						
SAMN08204112																						
SAMN08204116																						
SAMN08204115																						
SAMN08204117																						
SAMN08204016																						
SAMN08204086																						
SAMN08204088																						
SAMN08204013																						
SAMN08204083																						
SAMN08204090																						
SAMN08203872																						
SAMN08204184																						
SAMN08204194																						
SAMN08204200																						
SAMN08203874																						
SAMN08204193																						
SAMN08204196																						
SAMN08204005																						
SAMN08204353																						
SAMN08204197																						
SAMN08204008																						
SAMN08204002																						
SAMN08204004																						
SAMN08204003																						
SAMN08204341																						
SAMN08204344																						
SAMN08204403																						
SAMN08204405																						
SAMN08204414																						
SAMN08203976																						
SAMN08203980																						
